author,updated_at,like_count,text,public,cleaned_text,review_txt,language
@ironmindvideopodcast9309,2024-03-31T04:46:49Z,0,"Rolly is talented but he's too damn dirty of a fighter. This isn't elbow boxing, I'm glad Isaac won.",True,"Rolly is talented but he's too damn dirty of a fighter. This isn't elbow boxing, I'm glad Isaac won.",rolli talent he damn dirti fighter isnt elbow box im glad isaac,en
@yurielcundangan9090,2024-03-31T04:46:42Z,1,Rollo always disappoint❤,True,Rollo always disappoint❤,rollo alway disappoint,en
@geeohard,2024-03-31T04:46:40Z,0,"I seriously think rolly brain is damaged at this point, those were hard ass punches bro. Probably time to hang it up bro.",True,"I seriously think rolly brain is damaged at this point, those were hard ass punches bro. Probably time to hang it up bro.",serious think rolli brain damag point hard as punch bro probabl time hang bro,en
@edgarxii.,2024-03-31T04:46:36Z,0,Pitbull 🇲🇽 had Rolly rolling blading since the opening 🔔,True,Pitbull  had Rolly rolling blading since the opening ,pitbul rolli roll blade sinc open,en
@HaveOneWithHans,2024-03-31T04:46:30Z,0,Time for that unskilled peace of scum to retire and take up YouTube,True,Time for that unskilled peace of scum to retire and take up YouTube,time unskil peac scum retir take youtub,en
@jaithareal6923,2024-03-31T04:46:29Z,0,Rollie is tough just can't box,True,Rollie is tough just can't box,rolli tough cant box,en
@yurielcundangan9090,2024-03-31T04:46:29Z,1,Rlly always disappoints,True,Rlly always disappoints,rlli alway disappoint,en
@miguelrojas6212,2024-03-31T04:46:23Z,0,The best lesson for trash talk,True,The best lesson for trash talk,best lesson trash talk,en
@kv51m7,2024-03-31T04:46:15Z,1,Pitbull and tank rematch needs to happen ASAP!! this was ridiculously incredible to watch 👏👏,True,Pitbull and tank rematch needs to happen ASAP!! this was ridiculously incredible to watch ,pitbul tank rematch need happen asap ridicul incred watch,en
@hooptroop,2024-03-31T04:46:13Z,0,Broner vs Rolly coming soon,True,Broner vs Rolly coming soon,broner v rolli come soon,en
@fdkfskfkvmk441254741,2024-03-31T04:46:12Z,0,"Cruz vs Matias next,  let's bring that rivalrie back 🇲🇽 vs 🇵🇷",True,"Cruz vs Matias next,  let's bring that rivalrie back  vs ",cruz v matia next let bring rivalri back v,en
@JuanSanchez-hs7sn,2024-03-31T04:46:03Z,0,Why you guys think Gervonta Scare.,True,Why you guys think Gervonta Scare.,guy think gervonta scare,en
@lonelysadwildbeast6962,2024-03-31T04:45:49Z,198,never mess with a real Aztec warrior,True,never mess with a real Aztec warrior,never mess real aztec warrior,en
@kenyowns,2024-03-31T04:45:47Z,0,Early Stoppage,True,Early Stoppage,earli stoppag,en
@GreenBrown01,2024-03-31T04:45:46Z,0,Hell yeah go pitbull,True,Hell yeah go pitbull,hell yeah go pitbul,en
@user-fx8rm2bi2d,2024-03-31T04:45:46Z,13,Romero and A.B did the same walk 😂😂😂😂😂😂😂,True,Romero and A.B did the same walk ,romero ab walk,en
@walters2405,2024-03-31T04:45:43Z,0,Rolly a bum.,True,Rolly a bum.,rolli bum,en
@HanzoHasashi-zk9zi,2024-03-31T04:45:40Z,0,The perfect example of when trash talkigg my goes wrong 😂 viva Mexico 🇲🇽,True,The perfect example of when trash talkigg my goes wrong  viva Mexico ,perfect exampl trash talkigg go wrong viva mexico,en
@user-qm4xf4ob4t,2024-03-31T04:45:36Z,0,"Rolly all hat, no cattle...",True,"Rolly all hat, no cattle...",rolli hat cattl,en
@IAMJARCARDA,2024-03-31T04:45:34Z,0,ALL THAT TROLLING GOT U A 1 SIDED GOOD OLD FASHIONED ASS WHOOPIN 😂😂😂,True,ALL THAT TROLLING GOT U A 1 SIDED GOOD OLD FASHIONED ASS WHOOPIN ,troll got u 1 side good old fashion as whoopin,en
@jayzonetv3287,2024-03-31T04:45:29Z,569,"Congratulations to you cruz. Me and my friends are a big fan of yours. We are proud of you. Viva mexico!! ❤️❤️❤️
From 🇵🇭🇵🇭🇵🇭",True,"Congratulations to you cruz. Me and my friends are a big fan of yours. We are proud of you. Viva mexico!! ❤️❤️❤️
From ",congratul cruz friend big fan proud viva mexico,en
@Rubded,2024-03-31T04:45:23Z,0,Hahahaha! Please let this be the end of Rolly. The dude is disgusting and bad for the sport.,True,Hahahaha! Please let this be the end of Rolly. The dude is disgusting and bad for the sport.,hahahaha pleas let end rolli dude disgust bad sport,en
@teddymarple1050,2024-03-31T04:45:18Z,0,He needs to work with Mike Tyson and really hone in that peekaboo style,True,He needs to work with Mike Tyson and really hone in that peekaboo style,need work mike tyson realli hone peekaboo style,en
